Latin name,Family,Origem (Fonte? Flora do Brasil 2020?,Brasil,order,family,pollinator spp
Butia paraguayensis (Barb.Rodr.) L.H.Bailey,Arecaceae,"Brazil, Paraguay",Nativa,Hymenoptera,Apidae,Paratrigona lineata
Butia paraguayensis (Barb.Rodr.) L.H.Bailey,Arecaceae,"Brazil, Paraguay",Nativa,Hymenoptera,Apidae,Trigona hyalinata
Butia paraguayensis (Barb.Rodr.) L.H.Bailey,Arecaceae,"Brazil, Paraguay",Nativa,Hymenoptera,Apidae,Trigona spinipes
Butia paraguayensis (Barb.Rodr.) L.H.Bailey,Arecaceae,"Brazil, Paraguay",Nativa,Hymenoptera,Halictidae,Augochlora sp.
Butia paraguayensis (Barb.Rodr.) L.H.Bailey,Arecaceae,"Brazil, Paraguay",Nativa,Hymenoptera,Halictidae,Augochlorella michaelis
Butia paraguayensis (Barb.Rodr.) L.H.Bailey,Arecaceae,"Brazil, Paraguay",Nativa,Hymenoptera,Halictidae,Augochloropsis aurifluens
Butia paraguayensis (Barb.Rodr.) L.H.Bailey,Arecaceae,"Brazil, Paraguay",Nativa,Hymenoptera,Halictidae,Augochloropsis cleopatra
Butia paraguayensis (Barb.Rodr.) L.H.Bailey,Arecaceae,"Brazil, Paraguay",Nativa,Hymenoptera,Halictidae,Ceratalictus theius
Butia paraguayensis (Barb.Rodr.) L.H.Bailey,Arecaceae,"Brazil, Paraguay",Nativa,Hymenoptera,Halictidae,Chloralictus sp.
Theobroma cacao L.,Malvaceae,"Brazil, Colombia, Costa Rica, Ecuador, French Guiana, Guyana, Peru, Suriname, Venezuela",Nativa,Diptera,Ceratopogonidae,Forcipomyia soriai
Theobroma cacao L.,Malvaceae,"Brazil, Colombia, Costa Rica, Ecuador, French Guiana, Guyana, Peru, Suriname, Venezuela",Nativa,Diptera,Ceratopogonidae,Forcipomyia spatulifera
Theobroma cacao L.,Malvaceae,"Brazil, Colombia, Costa Rica, Ecuador, French Guiana, Guyana, Peru, Suriname, Venezuela",Nativa,Diptera,Ceratopogonidae,Forcipomyia winderi
Elaeis oleifera  (Kunth) Cortés,Arecaceae,"Brazil, Colombia, Costa Rica, Ecuador, French Guiana, Honduras, Nicaragua, Panamá, Peru, Suriname",Nativa,Coleoptera,Curculionidae,Elaeidobius sp.
Elaeis oleifera  (Kunth) Cortés,Arecaceae,"Brazil, Colombia, Costa Rica, Ecuador, French Guiana, Honduras, Nicaragua, Panamá, Peru, Suriname",Nativa,Hymenoptera,Apidae,Apis mellifera
Elaeis oleifera  (Kunth) Cortés,Arecaceae,"Brazil, Colombia, Costa Rica, Ecuador, French Guiana, Honduras, Nicaragua, Panamá, Peru, Suriname",Nativa,Hymenoptera,Apidae,Partamona sp.
Elaeis oleifera  (Kunth) Cortés,Arecaceae,"Brazil, Colombia, Costa Rica, Ecuador, French Guiana, Honduras, Nicaragua, Panamá, Peru, Suriname",Nativa,Hymenoptera,Apidae,Trigona sp.
Myrciaria dubia (Kunth) McVaugh,Myrtaceae,S. Tropical America.,Nativa,Hymenoptera,Apidae,Apis mellifera
Myrciaria dubia (Kunth) McVaugh,Myrtaceae,S. Tropical America.,Nativa,Hymenoptera,Apidae,Melipona compressipes
Myrciaria dubia (Kunth) McVaugh,Myrtaceae,S. Tropical America.,Nativa,Hymenoptera,Apidae,Nannotrigona punctata
Myrciaria dubia (Kunth) McVaugh,Myrtaceae,S. Tropical America.,Nativa,Hymenoptera,Apidae,Partamona cupira
Myrciaria dubia (Kunth) McVaugh,Myrtaceae,S. Tropical America.,Nativa,Hymenoptera,Apidae,Trigona branneri
Myrciaria dubia (Kunth) McVaugh,Myrtaceae,S. Tropical America.,Nativa,Hymenoptera,Apidae,Trigona pallens
Myrciaria dubia (Kunth) McVaugh,Myrtaceae,S. Tropical America.,Nativa,Hymenoptera,Apidae,Trigona recursa
Myrciaria dubia (Kunth) McVaugh,Myrtaceae,S. Tropical America.,Nativa,Hymenoptera,Halictidae,Augochlora sp.
Annona cornifolia  A.St.-Hil.,Annonaceae,Brazil to Bolivia,Nativa,Coleoptera,Scarabaeidae,Cyclocephala atricapilla
Annona cornifolia  A.St.-Hil.,Annonaceae,Brazil to Bolivia,Nativa,Coleoptera,Scarabaeidae,Cyclocephala quatuordecumpunctata
Cocos nucifera L.,Arecaceae,Central Malesia to SW. Pacific,Exotica,Hymenoptera,Apidae,Apis mellifera
Cocos nucifera L.,Arecaceae,Central Malesia to SW. Pacific,Exotica,Hymenoptera,Apidae,Plebeia poecilochroa
Cocos nucifera L.,Arecaceae,Central Malesia to SW. Pacific,Exotica,Hymenoptera,Apidae,Trigona guianae
Cocos nucifera L.,Arecaceae,Central Malesia to SW. Pacific,Exotica,Hymenoptera,Apidae,Trigona spinipes
Crambe hispanica subsp. abyssinica (Hochst. ex R.E.Fr.) Prina,Brassicaceae,"Ethiopia, Kenya, Rwanda, Tanzania, Uganda, Zaïre",Exotica,Hymenoptera,Apidae,Apis mellifera
Crambe hispanica subsp. abyssinica (Hochst. ex R.E.Fr.) Prina,Brassicaceae,"Ethiopia, Kenya, Rwanda, Tanzania, Uganda, Zaïre",Exotica,Hymenoptera,Apidae,Exomalopsis fulvofasciata
Crambe hispanica subsp. abyssinica (Hochst. ex R.E.Fr.) Prina,Brassicaceae,"Ethiopia, Kenya, Rwanda, Tanzania, Uganda, Zaïre",Exotica,Hymenoptera,Apidae,Geotrigona mombuca
Crambe hispanica subsp. abyssinica (Hochst. ex R.E.Fr.) Prina,Brassicaceae,"Ethiopia, Kenya, Rwanda, Tanzania, Uganda, Zaïre",Exotica,Hymenoptera,Apidae,Plebeia sp.
Crambe hispanica subsp. abyssinica (Hochst. ex R.E.Fr.) Prina,Brassicaceae,"Ethiopia, Kenya, Rwanda, Tanzania, Uganda, Zaïre",Exotica,Hymenoptera,Halictidae,Dialictus sp.
Lippia alba (Mill.) N.E.Br. ex Britton & P.Wilson,Verbenaceae ,Tropical & Subtropical America,Nativa,Hymenoptera,Apidae,Apis mellifera
Feijoa sellowiana (O.Berg) O.Berg,Myrtaceae,"Argentina, Brazil, Uruguay",Nativa,Hymenoptera,Apidae,Bombus atratus
Feijoa sellowiana (O.Berg) O.Berg,Myrtaceae,"Argentina, Brazil, Uruguay",Nativa,Hymenoptera,Apidae,Xylocopa augusti
Campomanesia velutina (Cambess.) O.Berg,Myrtaceae,Brazil,Nativa,Hymenoptera,Apidae,Bombus atratus
Campomanesia velutina (Cambess.) O.Berg,Myrtaceae,Brazil,Nativa,Hymenoptera,Apidae,Bombus morio
Annona montana Macfad,Annonaceae,Tropical America,Nativa,Coleoptera,Scarabaeidae,Cyclocephala picipes
Syzygium cumini (L.) Skeels,Myrtaceae,Tropical & Subtropical Asia to N. Queensland.,Exotica,Hymenoptera,Apidae,Apis mellifera
Syzygium cumini (L.) Skeels,Myrtaceae,Tropical & Subtropical Asia to N. Queensland.,Exotica,Hymenoptera,Apidae,Scaptotrigona  sp.
Syzygium cumini (L.) Skeels,Myrtaceae,Tropical & Subtropical Asia to N. Queensland.,Exotica,Hymenoptera,Apidae,Tetragonisca sp.
Syzygium cumini (L.) Skeels,Myrtaceae,Tropical & Subtropical Asia to N. Queensland.,Exotica,Hymenoptera,Apidae,Trigona sp.
Jacaratia spinosa (Aubl.) A.DC.,Caricaceae,Central & S. Tropical America,Nativa,Lepidoptera,Sphingidae,Aellopos titan
Hymenaea stigonocarpa Mart. ex Hayne,Fabaceae,Venezuela to Paraguay,Nativa,Chiroptera,Phyllostomidae,Carollia perspicillata
Hymenaea stigonocarpa Mart. ex Hayne,Fabaceae,Venezuela to Paraguay,Nativa,Chiroptera,Phyllostomidae,Glossophaga soricina
Hymenaea stigonocarpa Mart. ex Hayne,Fabaceae,Venezuela to Paraguay,Nativa,Chiroptera,Phyllostomidae,Plathyrrhinus lineatus
