"","Latin.name","Family","Origem..Fonte..Flora.do.Brasil.2020.","Brasil","order","family","pollinator.spp","group"
"80","Schinus terebinthifolia Raddi","Anacardiaceae","Argentina Northeast, Brazil, Paraguay","Nativa","Hymenoptera","Vespidae","Polistes versicolor","Other insects"
"81","Schinus terebinthifolia Raddi","Anacardiaceae","Argentina Northeast, Brazil, Paraguay","Nativa","Hymenoptera","Vespidae","Polybia fastidiosuscula","Other insects"
"82","Attalea speciosa Mart.","Arecaceae","Bolivia, Brazil, Guyana, Suriname","Nativa","Coleoptera","Nitidulidae","Mystrops mexicana","Other insects"
"83","Oenocarpus mapora H.Karst.","Arecaceae","Bolivia, Brazil North, Colombia, Costa Rica, Ecuador, Panamá, Peru, Venezuela","Nativa","Coleoptera","Curculionidae","Anchylorhychus bicarinatus","Other insects"
"84","Oenocarpus mapora H.Karst.","Arecaceae","Bolivia, Brazil North, Colombia, Costa Rica, Ecuador, Panamá, Peru, Venezuela","Nativa","Coleoptera","Curculionidae","Terires minusculus","Other insects"
"85","Oenocarpus mapora H.Karst.","Arecaceae","Bolivia, Brazil North, Colombia, Costa Rica, Ecuador, Panamá, Peru, Venezuela","Nativa","Coleoptera","Scarabaeidae","Cyclocephala distincta","Other insects"
"86","Oenocarpus mapora H.Karst.","Arecaceae","Bolivia, Brazil North, Colombia, Costa Rica, Ecuador, Panamá, Peru, Venezuela","Nativa","Hemiptera","Thaumastocoridae","Discocoris drakei","Other insects"
"87","Oenocarpus mapora H.Karst.","Arecaceae","Bolivia, Brazil North, Colombia, Costa Rica, Ecuador, Panamá, Peru, Venezuela","Nativa","Hymenoptera","","Apis mellifera","Bees"
"88","Oenocarpus mapora H.Karst.","Arecaceae","Bolivia, Brazil North, Colombia, Costa Rica, Ecuador, Panamá, Peru, Venezuela","Nativa","Hymenoptera","","Trigona sp.","Bees"
"89","Platonia insignis Mart.","Clusiaceae ","Brazil, French Guiana, Guyana, Suriname, Venezuela","Nativa","Passeriformes","Icteridae","Cacicus cela","Vertebrates"
"90","Platonia insignis Mart.","Clusiaceae ","Brazil, French Guiana, Guyana, Suriname, Venezuela","Nativa","Passeriformes","Thraupidae","Cyanerpes caeruleus","Vertebrates"
"91","Platonia insignis Mart.","Clusiaceae ","Brazil, French Guiana, Guyana, Suriname, Venezuela","Nativa","Passeriformes","Thraupidae","Ramphocelus carbo","Vertebrates"
"92","Platonia insignis Mart.","Clusiaceae ","Brazil, French Guiana, Guyana, Suriname, Venezuela","Nativa","Passeriformes","Thraupidae","Thraupis episcopus","Vertebrates"
"93","Platonia insignis Mart.","Clusiaceae ","Brazil, French Guiana, Guyana, Suriname, Venezuela","Nativa","Passeriformes","Thraupidae","Thraupis palmarum","Vertebrates"
"94","Platonia insignis Mart.","Clusiaceae ","Brazil, French Guiana, Guyana, Suriname, Venezuela","Nativa","Psittaciformes","Psittacidae","Aratinga leucophthalmus","Vertebrates"
"95","Platonia insignis Mart.","Clusiaceae ","Brazil, French Guiana, Guyana, Suriname, Venezuela","Nativa","Psittaciformes","Psittacidae","Brotogeris chrysoptera","Vertebrates"
"96","Platonia insignis Mart.","Clusiaceae ","Brazil, French Guiana, Guyana, Suriname, Venezuela","Nativa","Psittaciformes","Psittacidae","Pionites leucogaster","Vertebrates"
"97","Butia paraguayensis (Barb.Rodr.) L.H.Bailey","Arecaceae","Brazil, Paraguay","Nativa","Hymenoptera","Apidae","Apis mellifera","Bees"
"98","Butia paraguayensis (Barb.Rodr.) L.H.Bailey","Arecaceae","Brazil, Paraguay","Nativa","Hymenoptera","Apidae","Paratrigona lineata","Bees"
"99","Butia paraguayensis (Barb.Rodr.) L.H.Bailey","Arecaceae","Brazil, Paraguay","Nativa","Hymenoptera","Apidae","Trigona hyalinata","Bees"
"100","Butia paraguayensis (Barb.Rodr.) L.H.Bailey","Arecaceae","Brazil, Paraguay","Nativa","Hymenoptera","Apidae","Trigona spinipes","Bees"
"101","Butia paraguayensis (Barb.Rodr.) L.H.Bailey","Arecaceae","Brazil, Paraguay","Nativa","Hymenoptera","Halictidae","Augochlora sp.","Bees"
"102","Butia paraguayensis (Barb.Rodr.) L.H.Bailey","Arecaceae","Brazil, Paraguay","Nativa","Hymenoptera","Halictidae","Augochlorella michaelis","Bees"
"103","Butia paraguayensis (Barb.Rodr.) L.H.Bailey","Arecaceae","Brazil, Paraguay","Nativa","Hymenoptera","Halictidae","Augochloropsis aurifluens","Bees"
"104","Butia paraguayensis (Barb.Rodr.) L.H.Bailey","Arecaceae","Brazil, Paraguay","Nativa","Hymenoptera","Halictidae","Augochloropsis cleopatra","Bees"
"105","Butia paraguayensis (Barb.Rodr.) L.H.Bailey","Arecaceae","Brazil, Paraguay","Nativa","Hymenoptera","Halictidae","Ceratalictus theius","Bees"
"106","Butia paraguayensis (Barb.Rodr.) L.H.Bailey","Arecaceae","Brazil, Paraguay","Nativa","Hymenoptera","Halictidae","Chloralictus sp.","Bees"
"107","Theobroma cacao L.","Malvaceae","Brazil, Colombia, Costa Rica, Ecuador, French Guiana, Guyana, Peru, Suriname, Venezuela","Nativa","Diptera","Ceratopogonidae","Forcipomyia soriai","Other insects"
"108","Theobroma cacao L.","Malvaceae","Brazil, Colombia, Costa Rica, Ecuador, French Guiana, Guyana, Peru, Suriname, Venezuela","Nativa","Diptera","Ceratopogonidae","Forcipomyia spatulifera","Other insects"
"109","Theobroma cacao L.","Malvaceae","Brazil, Colombia, Costa Rica, Ecuador, French Guiana, Guyana, Peru, Suriname, Venezuela","Nativa","Diptera","Ceratopogonidae","Forcipomyia winderi","Other insects"
"110","Elaeis oleifera  (Kunth) Cortés","Arecaceae","Brazil, Colombia, Costa Rica, Ecuador, French Guiana, Honduras, Nicaragua, Panamá, Peru, Suriname","Nativa","Coleoptera","Curculionidae","Elaeidobius sp.","Other insects"
